season_id,competition_name,#_squads,champion,top_scorer.player,top_scorer.goals_scored
2025-2026,Ligue 1,18,,"['Bradley Barcola', 'Esteban Lepaul... ']",3
2024-2025,Ligue 1,18,Paris Saint Germain,"['Mason Greenwood', 'Ousmane Dembélé']",21
2023-2024,Ligue 1,18,Paris Saint Germain,Kylian Mbappé,27
2022-2023,Ligue 1,20,Paris Saint Germain,Kylian Mbappé,29
2021-2022,Ligue 1,20,Paris Saint Germain,Kylian Mbappé,28
2020-2021,Ligue 1,20,Lille,Kylian Mbappé,27
2019-2020,Ligue 1,20,Paris Saint Germain,"['Kylian Mbappé', 'Wissam Ben Yedder']",18
2018-2019,Ligue 1,20,Paris Saint Germain,Kylian Mbappé,33
2017-2018,Ligue 1,20,Paris Saint Germain,Edinson Cavani,28
2016-2017,Ligue 1,20,Monaco,Edinson Cavani,35
2015-2016,Ligue 1,20,Paris Saint Germain,Zlatan Ibrahimović,38
2014-2015,Ligue 1,20,Paris Saint Germain,Alexandre Lacazette,27
2013-2014,Ligue 1,20,Paris Saint Germain,Zlatan Ibrahimović,26
2012-2013,Ligue 1,20,Paris Saint Germain,Zlatan Ibrahimović,30
2011-2012,Ligue 1,20,Montpellier,"['Olivier Giroud', 'Nenê']",21
2010-2011,Ligue 1,20,Lille,Moussa Sow,25
2009-2010,Ligue 1,20,Marseille,Mamadou Niang,18
2008-2009,Ligue 1,20,Bordeaux,André Pierre Gignac,24
2007-2008,Ligue 1,20,Lyon,Karim Benzema,20
2006-2007,Ligue 1,20,Lyon,Pauleta,15
2005-2006,Ligue 1,20,Lyon,Pauleta,21
2004-2005,Ligue 1,20,Lyon,Alexander Frei,20
2003-2004,Ligue 1,20,Lyon,Djibril Cissé,26
2002-2003,Ligue 1,20,Lyon,Shabani Nonda,26
2001-2002,Division 1,18,Lyon,"['Pauleta', 'Djibril Cissé']",22
2000-2001,Division 1,18,Nantes,Sonny Anderson,22
1999-2000,Division 1,18,Monaco,Sonny Anderson,23
1998-1999,Division 1,18,Bordeaux,Sylvain Wiltord,22
1997-1998,Division 1,18,Lens,Stéphane Guivarc'h,21
1996-1997,Division 1,20,Monaco,Stéphane Guivarc'h,22
1995-1996,Division 1,20,Auxerre,Sonny Anderson,21
